Distancia_10;Distancia_50;Distancia_100;Distancia_500;Distancia_1000;Distancia_2000;Distancia_5000
1.50865;2.99486;4.19538;9.52009;13.0095;18.114;28.9764
1.38875;2.83282;4.26725;9.40793;13.1002;18.0255;29.0635
1.21606;2.58625;4.09834;9.1798;12.9498;18.365;28.9485
1.06346;2.85253;3.82391;9.72828;12.9856;18.3892;29.3231
1.26884;2.82416;4.25089;9.34247;13.0405;18.0321;28.6137
0.779079;2.91382;4.10158;9.03286;13.0619;18.2486;28.7655
0.950414;2.62805;4.25638;9.11385;13.3115;18.542;29.1983
1.36036;2.64841;4.21151;9.55327;12.7981;18.2185;28.6913
0.746455;2.79481;3.76702;9.2573;12.8443;18.3454;28.8027
1.30043;3.01216;3.60088;9.6044;12.8672;18.8119;28.9109
1.417;2.5108;4.01185;9.47719;12.9928;17.936;28.732
1.16466;2.74331;3.99303;9.39137;12.7956;18.2986;29.0123
1.58834;3.15991;4.11185;9.50898;13.3036;17.8598;28.8998
1.19692;2.6092;4.05974;9.4579;13.0998;18.5093;28.6389
1.09215;2.92631;4.34213;9.47562;13.3184;18.33;28.9538
1.63605;2.87759;3.97728;9.31678;13.0247;18.12;28.8353
1.4278;2.67994;3.83742;9.53051;12.9994;17.918;28.775
1.07309;2.84032;4.1005;9.4946;13.0009;17.8951;29.1179
1.30389;3.34175;3.89447;9.12916;12.9986;18.3548;28.9611
1.32079;2.22322;3.96324;9.25019;13.4884;17.9681;28.7545
1.14817;2.52816;3.97416;9.30353;12.999;18.2699;28.8635
1.9351;2.33036;4.37604;9.10477;12.5334;18.315;28.4838
0.9339;2.51407;4.1745;9.80548;12.6082;18.3867;28.7462
1.24999;2.3422;3.88782;9.22628;13.0179;18.5722;28.5718
1.65529;2.74933;4.10661;9.1967;13.4087;18.5597;29.0657
1.17866;2.96935;3.97823;9.14444;12.9843;18.7022;28.9633
1.07731;2.87093;4.25223;8.88911;12.5803;18.267;28.6763
1.32337;2.72958;3.9129;9.18479;13.0607;18.3714;28.5149
1.02453;2.7573;4.27066;9.23543;13.1005;18.4201;29.2817
1.65868;2.64392;4.27067;8.94803;13.0617;18.4335;28.572
1.35356;2.77788;4.08727;9.78263;12.9862;18.6115;28.9812
1.48163;2.95421;3.95853;9.62163;13.5697;18.128;29.0586
1.64303;2.62982;4.0085;9.18785;12.9323;18.2953;29.3352
1.24603;2.75466;4.00449;9.24362;12.7614;18.4375;29.0448
1.56239;3.11815;4.13312;9.21098;13.373;18.6978;28.7925
1.5395;3.16229;3.89432;9.16964;13.1534;18.3639;28.4863
0.91127;2.65085;3.89293;9.26632;13.0993;18.2341;29.4178
0.893369;3.09179;4.29977;9.1822;13.1657;18.0453;28.7264
1.03027;2.71861;4.59668;8.89483;13.2132;18.0637;28.7058
1.176;2.77178;4.07534;9.42109;12.8211;18.2998;29.1938
0.911549;2.85143;3.92883;9.31605;13.115;17.8949;28.6658
1.06317;2.94933;3.78286;9.38175;12.5574;18.3949;28.8951
1.52178;2.39743;3.95821;9.22386;13.0734;18.4701;28.5085
1.31258;2.6794;4.12763;9.35971;12.8438;18.0089;29.329
1.64456;2.79582;3.9191;9.58158;12.8353;18.1475;28.7975
1.40018;2.71469;4.31901;9.21412;12.9139;18.1797;28.5621
1.16421;2.74779;4.19269;9.11477;12.707;18.1164;28.7974
1.1223;3.06885;4.07463;9.34014;12.9251;17.7136;28.5875
1.16371;2.89174;4.35149;9.56982;13.1838;18.1562;28.7257
1.31295;3.28775;4.21672;9.31562;12.8385;18.3523;29.2804
1.18489;2.94255;3.94479;9.40881;12.8095;18.3115;29.1344
1.39515;3.1753;4.09927;9.57652;12.509;18.0037;29.3443
1.66969;2.85336;4.40643;8.99294;13.0393;18.2025;28.8311
1.13195;3.05752;4.05166;9.27287;12.5868;18.1034;29.1121
1.41953;2.61193;3.94007;9.50896;13.1502;18.5401;28.9713
1.43045;2.85609;4.34799;9.11685;13.0886;18.2573;28.7842
0.986977;2.61366;3.87117;9.3847;12.8736;18.259;28.902
0.969493;2.36666;4.35152;9.42166;13.0621;17.946;29.0852
1.5223;2.56917;3.72801;9.23441;12.7771;18.1842;29.0776
1.25887;2.84039;4.51478;9.35892;12.7938;18.2642;28.6964
1.19688;3.24159;3.93554;9.21754;12.921;18.4184;28.9769
1.10687;2.81692;4.14181;9.26819;13.0308;18.2509;28.3168
1.66421;2.94736;4.19331;9.06776;13.0686;18.275;28.8407
1.43977;2.58675;3.76257;9.38207;12.9778;18.3583;29.0181
1.17226;2.9848;3.62399;9.29298;13.0452;18.4107;28.8993
0.908192;2.83001;4.07778;9.23966;12.9503;18.5509;29.0611
1.07787;2.44604;4.17228;9.49194;12.8806;18.1128;28.9974
1.17259;2.82629;3.93766;9.22961;12.8855;18.0932;28.9248
1.31053;2.78532;4.14581;9.31122;12.8798;18.5384;28.9798
1.33993;2.86569;4.27393;9.1832;12.8552;17.8351;29.2256
1.24509;2.88117;4.19131;9.30024;12.7007;18.0916;28.7245
1.64581;2.97133;4.06509;9.2915;13.3975;18.2542;28.4637
1.57301;3.18264;4.20377;9.27399;13.0755;18.2792;28.8391
1.37527;2.8793;3.96117;9.17139;12.86;17.9475;28.7255
1.46486;2.31828;4.18323;9.10815;12.7362;18.2849;28.9528
1.31666;2.96208;4.08985;9.33555;12.9599;18.3743;28.8981
1.557;3.07606;4.06211;9.20242;13.0366;18.466;29.1077
1.32065;2.6019;4.20679;9.21454;13.0229;18.7843;29.0274
1.18514;2.81399;3.74192;9.58354;12.8846;18.3707;29.5396
1.26347;2.77598;4.14483;9.08558;12.9571;17.9262;28.8807
1.3344;3.13598;4.24462;9.42349;12.9874;18.1783;28.7735
1.05465;3.01797;4.01359;9.04947;12.9234;18.4852;28.6091
0.924106;3.01818;4.59101;9.56354;13.2677;18.265;28.9383
1.22851;2.83646;4.24255;9.11187;12.9811;18.2981;28.8596
0.882589;2.78661;4.25186;8.81531;12.8843;18.204;29.0797
1.10469;2.84225;4.04785;8.95429;12.8031;18.5459;28.7487
